Criterion,Max Depth,Train Score,Test Score
gini,1,0.7594351107864621,0.7571115973741794
gini,2,0.8704650596542488,0.8599562363238512
gini,3,0.9028487947406866,0.8949671772428884
gini,4,0.925736547358169,0.9190371991247265
gini,5,0.9508156805454103,0.9409190371991247
gini,6,0.9656683710737765,0.949671772428884
gini,7,0.9800340881421963,0.9671772428884027
gini,8,0.9878256635013392,0.9715536105032823
gini,9,0.990990990990991,0.9671772428884027
gini,10,0.994399805210616,0.9781181619256017
gini,11,0.9956172388604821,0.975929978118162
gini,12,0.997808619430241,0.9846827133479212
gini,13,0.9990260530801072,0.9846827133479212
gini,14,0.9990260530801072,0.9824945295404814
gini,15,0.9992695398100804,0.9846827133479212
entropy,1,0.7477477477477478,0.75054704595186
entropy,2,0.8836133430728025,0.8796498905908097
entropy,3,0.9047966885804724,0.8971553610503282
entropy,4,0.9303627952276601,0.9277899343544858
entropy,5,0.9564158753347942,0.9452954048140044
entropy,6,0.9758948137326515,0.9562363238512035
entropy,7,0.9866082298514731,0.9693654266958425
entropy,8,0.9941563184806428,0.973741794310722
entropy,9,0.9980521061602142,0.9781181619256017
entropy,10,1.0,0.9803063457330415
entropy,11,1.0,0.9824945295404814
entropy,12,1.0,0.9803063457330415
entropy,13,1.0,0.9824945295404814
entropy,14,1.0,0.9824945295404814
entropy,15,1.0,0.9803063457330415
